sid	ann_certainty
228189	certain
231828	certain
248986	certain
254824	certain
264011	certain
282413	certain
283832	certain
290365	certain
294470	certain
300549	certain
360738	certain
361454	certain
372723	certain
373288	certain
381568	certain
382977	certain
390024	certain
390130	certain
390757	certain
403180	certain
404037	certain
407031	certain
431123	certain
443464	certain
452654	certain
466814	certain
474419	certain
490249	certain
517184	certain
520650	certain
521941	certain
529788	certain
546064	certain
564580	certain
579467	certain
585563	certain
595345	certain
602166	certain
608976	certain
610934	certain
612134	certain
612786	certain
615086	certain
625992	certain
630388	certain
639195	certain
639750	certain
640773	certain
648369	certain
649471	certain
657004	certain
671906	certain
675446	certain
682433	certain
690231	certain
700212	certain
725844	certain
727654	certain
730735	certain
733310	certain
734229	certain
742796	certain
743846	certain
748403	certain
751209	certain
758037	certain
760308	certain
760785	certain
767736	certain
771997	certain
778071	certain
778571	certain
810531	certain
811455	certain
839753	certain
842324	certain
847930	certain
863202	certain
863289	certain
872874	certain
873889	certain
875837	certain
881784	certain
885332	certain
893790	certain
908540	certain
914369	certain
915122	certain
915159	certain
915167	certain
915422	certain
915447	certain
915578	certain
915764	certain
915912	certain
916146	certain
917890	certain
920128	certain
921708	certain
922191	certain
922903	certain
924837	certain
925435	certain
928972	certain
929498	certain
930428	certain
931245	certain
931890	certain
932027	certain
932233	certain
933387	certain
933423	certain
963833	certain
1154539	certain
1174151	certain
1174833	certain
1206513	certain
1214146	certain
1389829	certain
