sid	ann_certainty
241157	certain
250131	certain
266868	certain
274359	certain
284282	certain
291879	certain
306167	certain
435994	certain
442610	certain
453694	certain
479291	certain
505931	certain
554310	certain
556069	certain
559083	certain
578992	certain
601967	certain
628842	certain
647338	certain
648635	certain
657398	certain
658175	certain
679415	certain
683293	certain
714006	certain
719322	certain
722994	certain
741443	certain
902341	certain
915260	certain
915336	certain
915347	certain
915994	certain
916455	certain
916557	certain
917034	certain
917175	certain
917533	certain
917695	certain
919157	certain
922205	certain
923353	certain
923453	certain
924630	certain
924728	certain
925497	certain
930067	certain
932119	certain
932204	certain
932848	certain
932945	certain
933139	certain
998177	certain
1022273	certain
1037295	certain
1097346	certain
1123611	certain
1147045	certain
1149658	certain
1161642	certain
1181949	certain
1184983	certain
1207968	certain
1255177	certain
1326553	certain
1350239	certain
1353452	certain
