sid	ann_certainty
234759	certain
248778	certain
249744	certain
256000	certain
258650	certain
265147	certain
271912	certain
282967	certain
307973	certain
309367	certain
317842	certain
319799	certain
358040	certain
384977	certain
385702	certain
390080	certain
395965	certain
406373	certain
408839	certain
410332	certain
413078	certain
420702	certain
445122	certain
445705	certain
448286	certain
454259	certain
468953	certain
478671	certain
478891	certain
491326	certain
517392	certain
521851	certain
531276	certain
555349	certain
558231	certain
564804	certain
569829	certain
581059	certain
611115	certain
612566	certain
614606	certain
617268	certain
634105	certain
643584	certain
646871	certain
648661	certain
649037	certain
652712	certain
652869	certain
657146	certain
659571	certain
662784	certain
662786	certain
664774	certain
676885	certain
682014	certain
700083	certain
730631	certain
734837	certain
739853	certain
740487	certain
742870	certain
754304	certain
757629	certain
760161	certain
762281	certain
763819	certain
786245	certain
786777	certain
788599	certain
789148	certain
796041	certain
809511	certain
814983	certain
815431	certain
827182	certain
828134	certain
846977	certain
866267	certain
868418	certain
871053	certain
872221	certain
876454	certain
880647	certain
896205	certain
907822	certain
908803	certain
914975	certain
915250	certain
915284	certain
915352	certain
916207	certain
916208	certain
916776	certain
917716	certain
918998	certain
919133	certain
921228	certain
922435	certain
922571	certain
922607	certain
922983	certain
923137	certain
923282	certain
923338	certain
923428	certain
923466	certain
923662	certain
923750	certain
924218	certain
924328	certain
924981	certain
924998	certain
925607	certain
926196	certain
926547	certain
926578	certain
926662	certain
926914	certain
927311	certain
927534	certain
927744	certain
928483	certain
929301	certain
930255	certain
930858	certain
930930	certain
931184	certain
931744	certain
932294	certain
932393	certain
932512	certain
932995	certain
947876	certain
971024	certain
1012535	certain
1038502	certain
1081747	certain
1154134	certain
1163399	certain
1227571	certain
1231961	certain
1237619	certain
1264399	certain
1344210	certain
1364606	certain
