sid	ann_certainty
227278	certain
228437	certain
239696	certain
250218	certain
259364	certain
264507	certain
279158	certain
279809	certain
279916	certain
280136	certain
288801	certain
309612	certain
318494	certain
320765	certain
333761	certain
336316	certain
345831	certain
358062	certain
360041	certain
377295	certain
378786	certain
395723	certain
411507	certain
413019	certain
431423	certain
432749	certain
443488	certain
456983	certain
458444	certain
462269	certain
467552	certain
486257	certain
499557	certain
499757	certain
510600	certain
512510	certain
519271	certain
526673	certain
557369	certain
562628	certain
569860	certain
583004	certain
588085	certain
600507	certain
605745	certain
614941	certain
616355	certain
633382	certain
638712	certain
644749	certain
657145	certain
662734	certain
666774	certain
689066	certain
694713	certain
697843	certain
711977	certain
715205	certain
722384	certain
738563	certain
754831	certain
792840	certain
794121	certain
795997	certain
834373	certain
846022	certain
877560	certain
903267	certain
911477	certain
914364	certain
915189	certain
915354	certain
915626	certain
915762	certain
915769	certain
915846	certain
915859	certain
915947	certain
916161	certain
916175	certain
916324	certain
916328	certain
916361	certain
916441	certain
916497	certain
916689	certain
916757	certain
916805	certain
916997	certain
917073	certain
917191	certain
917570	certain
917643	certain
917685	certain
917837	certain
917893	certain
917910	certain
917987	certain
917999	certain
918688	certain
918840	certain
919228	certain
919685	certain
919712	certain
919794	certain
920498	certain
920607	certain
920847	certain
920897	certain
921543	certain
921672	certain
921689	certain
922265	certain
922528	certain
923124	certain
923272	certain
923438	certain
923734	certain
923858	certain
923922	certain
924404	certain
924483	certain
925077	certain
925315	certain
925450	certain
926184	certain
926282	certain
926317	certain
926428	certain
926858	certain
926983	certain
927027	certain
927033	certain
927094	certain
927203	certain
927260	certain
927826	certain
928030	certain
928568	certain
928704	certain
928810	certain
929081	certain
929207	certain
929981	certain
930162	certain
930338	certain
930815	certain
930914	certain
931384	certain
931812	certain
931871	certain
932312	certain
932349	certain
932507	certain
932704	certain
933009	certain
933277	certain
938119	certain
940327	certain
961136	certain
1025432	certain
1037496	certain
1055113	certain
1089131	certain
1160225	certain
1168018	certain
1173551	certain
1176271	certain
1177589	certain
1179264	certain
1187838	certain
1190554	certain
1198073	certain
1207230	certain
1209747	certain
1234912	certain
1238437	certain
1242313	certain
1382770	certain
1387296	certain
1414100	certain
1429962	certain
