sid	ann_certainty
239765	certain
242305	certain
242705	certain
264731	certain
269940	certain
282830	certain
317869	certain
358837	certain
360039	certain
372685	certain
400489	certain
451157	certain
463847	certain
549893	certain
569824	certain
595472	certain
628719	certain
644095	certain
658231	certain
662758	certain
663254	certain
669566	certain
720117	certain
725074	certain
726969	certain
751988	certain
756109	certain
778936	certain
783554	certain
792966	certain
824099	certain
832655	certain
847928	certain
913006	certain
915058	certain
915360	certain
915481	certain
915601	certain
915776	certain
915885	certain
916037	certain
916700	certain
916715	certain
916932	certain
917354	certain
917411	certain
917820	certain
919704	certain
920191	certain
920205	certain
920807	certain
921216	certain
921404	certain
923798	certain
924030	certain
924881	certain
925191	certain
925240	certain
925954	certain
926371	certain
927521	certain
928527	certain
928969	certain
929323	certain
929387	certain
930453	certain
930851	certain
931276	certain
932425	certain
933348	certain
943203	certain
965566	certain
982645	certain
1031853	certain
1032023	certain
1048995	certain
1087250	certain
1109707	certain
1169836	certain
1174862	certain
1215356	certain
1226940	certain
1230855	certain
1366365	certain
