sid	ann_certainty
228189	certain
231828	certain
254824	certain
264011	certain
283832	certain
294470	certain
300549	certain
360041	certain
360738	certain
381568	certain
390024	certain
390757	certain
403180	certain
462269	certain
466814	certain
490249	certain
520650	certain
546064	certain
579467	certain
585563	certain
595345	certain
602166	certain
615086	certain
625992	certain
630388	certain
639195	certain
648369	certain
671906	certain
690231	certain
722384	certain
725844	certain
727654	certain
733310	certain
734229	certain
743846	certain
758037	certain
760785	certain
778071	certain
810531	certain
811455	certain
817764	certain
833923	certain
839753	certain
842324	certain
847930	certain
863289	certain
873889	certain
875837	certain
881784	certain
885332	certain
893790	certain
914369	certain
915122	certain
915167	certain
915422	certain
915578	certain
915764	certain
915912	certain
916146	certain
916324	certain
917890	certain
917910	certain
919228	certain
920607	certain
920847	certain
921689	certain
921708	certain
922903	certain
924404	certain
924483	certain
925435	certain
926983	certain
928030	certain
928704	certain
931245	certain
932027	certain
932233	certain
933387	certain
933423	certain
961136	certain
963833	certain
1154539	certain
1174151	certain
1190554	certain
1206513	certain
1234912	certain
1389829	certain
