sid	ann_certainty
227446	certain
233691	certain
245160	certain
247739	certain
252239	certain
264077	certain
267791	certain
271273	certain
275617	certain
279740	certain
285613	certain
290686	certain
293798	certain
296692	certain
308624	certain
316277	certain
340618	certain
361871	certain
362129	certain
364051	certain
368875	certain
370597	certain
371072	certain
378871	certain
383821	certain
383988	certain
384255	certain
407252	certain
408944	certain
410733	certain
411578	certain
415475	certain
423617	certain
430573	certain
443349	certain
444152	certain
454057	certain
456775	certain
464965	certain
470734	certain
471847	certain
474724	certain
475271	certain
480366	certain
494310	certain
498572	certain
498785	certain
498997	certain
507380	certain
517074	certain
531011	certain
533762	certain
534642	certain
549756	certain
550216	certain
554138	certain
575615	certain
585852	certain
585896	certain
588285	certain
601717	certain
622252	certain
625606	certain
626209	certain
626314	certain
631204	certain
635888	certain
636843	certain
639754	certain
646821	certain
650801	certain
651929	certain
652631	certain
661915	certain
663317	certain
665777	certain
668610	certain
675329	certain
686629	certain
689975	certain
693155	certain
704622	certain
713751	certain
717737	certain
726391	certain
729172	certain
729312	certain
732214	certain
734580	certain
739855	certain
743832	certain
749751	certain
751227	certain
756557	certain
758955	certain
766207	certain
767397	certain
769298	certain
771299	certain
771390	certain
785011	certain
787658	certain
788794	certain
793346	certain
797648	certain
808141	certain
835223	certain
838536	certain
851401	certain
855638	certain
866831	certain
871942	certain
872858	certain
876837	certain
877457	certain
897149	certain
903202	certain
906489	certain
914065	certain
915106	certain
915120	certain
915155	certain
915278	certain
915473	certain
915554	certain
915638	certain
915691	certain
915696	certain
915760	certain
915821	certain
915878	certain
915919	certain
916053	certain
916381	certain
916493	certain
916529	certain
916613	certain
916703	certain
916714	certain
916759	certain
916852	certain
916853	certain
917304	certain
917330	certain
917380	certain
917590	certain
917986	certain
919672	certain
919882	certain
919910	certain
919985	certain
920964	certain
921981	certain
922397	certain
923184	certain
924659	certain
924727	certain
924803	certain
924896	certain
925407	certain
925613	certain
925860	certain
925981	certain
926454	certain
927947	certain
927961	certain
928142	certain
928705	certain
931570	certain
932209	certain
932567	certain
950368	certain
950899	certain
952159	certain
983922	certain
985625	certain
986907	certain
1007327	certain
1035918	certain
1047373	certain
1062459	certain
1114489	certain
1133882	certain
1135624	certain
1149252	certain
1153533	certain
1183242	certain
1188102	certain
1200017	certain
1201396	certain
1220870	certain
1238395	certain
1267246	certain
1287142	certain
1288532	certain
1320887	certain
1322701	certain
1334296	certain
1342158	certain
1354126	certain
1354628	certain
1390167	certain
1397212	certain
1401455	certain
1411693	certain
